date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:24	85091/85091	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/index.html	(from )
11:01:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Dec%202023%2005:31:23%20GMT	https://avitex.vn/robots.txt		(from )
11:01:25	818/818	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Aug%202023%2023:09:20%20GMT	https://avitex.vn/html/bytewave/assets/images/fav.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/fav.png	(from https://avitex.vn/html/bytewave/)
11:01:27	100421/100421	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Oct%202023%2023:40:54%20GMT	https://avitex.vn/html/bytewave/assets/css/animate-4.1.1.min.css	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/css/animate-4.1.1.min.css	(from https://avitex.vn/html/bytewave/)
11:01:32	1776/1776	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2016:45:52%20GMT	https://avitex.vn/html/bytewave/assets/css/slick.css	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/css/slick.css	(from https://avitex.vn/html/bytewave/)
11:01:34	298532/298532	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Aug%202023%2021:17:34%20GMT	https://avitex.vn/html/bytewave/assets/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/css/bootstrap.min.css	(from https://avitex.vn/html/bytewave/)
11:01:34	2183/2183	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Oct%202023%2017:06:20%20GMT	https://avitex.vn/html/bytewave/assets/icons/style.css	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/icons/style.css	(from https://avitex.vn/html/bytewave/)
11:01:37	190751/190751	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Oct%202023%2020:54:36%20GMT	https://avitex.vn/html/bytewave/assets/css/style.css	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/css/style.css	(from https://avitex.vn/html/bytewave/)
11:01:38	85091/85091	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/index.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/index-2.html	(from https://avitex.vn/html/bytewave/)
11:01:41	86873/86873	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/home2.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home2.html	(from https://avitex.vn/html/bytewave/)
11:01:42	86246/86246	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/home3.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home3.html	(from https://avitex.vn/html/bytewave/)
11:01:44	76712/76712	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/home4.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home4.html	(from https://avitex.vn/html/bytewave/)
11:01:46	82704/82704	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/home5.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home5.html	(from https://avitex.vn/html/bytewave/)
11:01:48	91874/91874	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/home6.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home6.html	(from https://avitex.vn/html/bytewave/)
11:01:50	80380/80380	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/home7.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/home7.html	(from https://avitex.vn/html/bytewave/)
11:01:52	90745/90745	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:14%20GMT	https://avitex.vn/html/bytewave/service-detail.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/service-detail.html	(from https://avitex.vn/html/bytewave/)
11:01:54	88410/88410	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:06%20GMT	https://avitex.vn/html/bytewave/about-us.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/about-us.html	(from https://avitex.vn/html/bytewave/)
11:01:56	78201/78201	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/our-team.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/our-team.html	(from https://avitex.vn/html/bytewave/)
11:01:58	68969/68969	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:14%20GMT	https://avitex.vn/html/bytewave/team-detail.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/team-detail.html	(from https://avitex.vn/html/bytewave/)
11:02:00	71577/71577	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:14%20GMT	https://avitex.vn/html/bytewave/pricing-plan.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/pricing-plan.html	(from https://avitex.vn/html/bytewave/)
11:02:02	78326/78326	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/list-testimonials.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/list-testimonials.html	(from https://avitex.vn/html/bytewave/)
11:02:04	72353/72353	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/case-studies-one.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-one.html	(from https://avitex.vn/html/bytewave/)
11:02:06	73900/73900	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/case-studies-two.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-two.html	(from https://avitex.vn/html/bytewave/)
11:02:08	75057/75057	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/case-studies-three.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-three.html	(from https://avitex.vn/html/bytewave/)
11:02:08	65604/65604	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/case-studies-four.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-four.html	(from https://avitex.vn/html/bytewave/)
11:02:12	78048/78048	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/case-studies-detail.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-detail.html	(from https://avitex.vn/html/bytewave/)
11:02:14	76307/76307	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/case-studies-detail-two.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/case-studies-detail-two.html	(from https://avitex.vn/html/bytewave/)
11:02:16	66476/66476	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-grid.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-grid.html	(from https://avitex.vn/html/bytewave/)
11:02:18	65883/65883	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-list.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-list.html	(from https://avitex.vn/html/bytewave/)
11:02:20	62331/62331	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-standard.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-standard.html	(from https://avitex.vn/html/bytewave/)
11:02:22	66312/66312	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-modern.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-modern.html	(from https://avitex.vn/html/bytewave/)
11:02:24	74205/74205	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-detail.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-detail.html	(from https://avitex.vn/html/bytewave/)
11:02:28	75728/75728	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:08%20GMT	https://avitex.vn/html/bytewave/blog-detail-two.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/blog-detail-two.html	(from https://avitex.vn/html/bytewave/)
11:02:30	61480/61480	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/contact-us.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/contact-us.html	(from https://avitex.vn/html/bytewave/)
11:02:32	66627/66627	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/faqs.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/faqs.html	(from https://avitex.vn/html/bytewave/)
11:02:34	55543/55543	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/error-404.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/error-404.html	(from https://avitex.vn/html/bytewave/)
11:02:37	59361/59361	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:12%20GMT	https://avitex.vn/html/bytewave/login.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/login.html	(from https://avitex.vn/html/bytewave/)
11:02:38	75429/75429	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:14%20GMT	https://avitex.vn/html/bytewave/shop.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/shop.html	(from https://avitex.vn/html/bytewave/)
11:02:40	77378/77378	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:14%20GMT	https://avitex.vn/html/bytewave/product-detail.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/product-detail.html	(from https://avitex.vn/html/bytewave/)
11:02:42	59976/59976	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2018:58:22%20GMT	https://avitex.vn/html/bytewave/cart.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/cart.html	(from https://avitex.vn/html/bytewave/)
11:02:45	71821/71821	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2001:13:10%20GMT	https://avitex.vn/html/bytewave/checkout.html	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/checkout.html	(from https://avitex.vn/html/bytewave/)
11:03:24	807360/807360	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202023%2015:49:44%20GMT	https://avitex.vn/html/bytewave/assets/images/slider/slider1.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/slider/slider1.png	(from https://avitex.vn/html/bytewave/)
11:03:36	184682/184682	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202023%2021:18:10%20GMT	https://avitex.vn/html/bytewave/assets/images/blog/item3.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/blog/item3.png	(from https://avitex.vn/html/bytewave/)
11:03:41	177101/177101	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202023%2017:20:54%20GMT	https://avitex.vn/html/bytewave/assets/images/blog/item4.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/blog/item4.png	(from https://avitex.vn/html/bytewave/)
11:03:46	9979/9979	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Aug%202023%2018:30:30%20GMT	https://avitex.vn/html/bytewave/assets/images/brand/van.svg	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/brand/van.svg	(from https://avitex.vn/html/bytewave/)
11:03:53	344260/344260	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Sep%202023%2017:56:22%20GMT	https://avitex.vn/html/bytewave/assets/images/blog/item12.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/blog/item12.png	(from https://avitex.vn/html/bytewave/)
11:03:53	3416/3416	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Aug%202023%2018:30:42%20GMT	https://avitex.vn/html/bytewave/assets/images/brand/slack.svg	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/brand/slack.svg	(from https://avitex.vn/html/bytewave/)
11:03:54	4768/4768	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Aug%202023%2018:30:52%20GMT	https://avitex.vn/html/bytewave/assets/images/brand/pana.svg	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/brand/pana.svg	(from https://avitex.vn/html/bytewave/)
11:03:56	7932/7932	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Aug%202023%2018:31:04%20GMT	https://avitex.vn/html/bytewave/assets/images/brand/shang.svg	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/brand/shang.svg	(from https://avitex.vn/html/bytewave/)
11:03:58	8193/8193	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Aug%202023%2018:31:18%20GMT	https://avitex.vn/html/bytewave/assets/images/brand/spotify.svg	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/brand/spotify.svg	(from https://avitex.vn/html/bytewave/)
11:04:05	142049/142049	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202023%2016:15:54%20GMT	https://avitex.vn/html/bytewave/assets/images/avatar/avatar1.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/avatar/avatar1.png	(from https://avitex.vn/html/bytewave/)
11:04:11	182137/182137	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202023%2016:15:48%20GMT	https://avitex.vn/html/bytewave/assets/images/avatar/avatar2.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/avatar/avatar2.png	(from https://avitex.vn/html/bytewave/)
11:04:21	185741/185741	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202023%2018:26:28%20GMT	https://avitex.vn/html/bytewave/assets/images/avatar/avatar3.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/avatar/avatar3.png	(from https://avitex.vn/html/bytewave/)
11:04:23	77681/77681	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Sep%202023%2017:03:44%20GMT	https://avitex.vn/html/bytewave/assets/images/component/bg-popup-newsletter.png	/storage/emulated/0/HTTrack/Websites/bytewave/avitex.vn/html/bytewave/assets/images/component/bg-popup-newsletter.png	(from https://avitex.vn/html/bytewave/)
